,Item_MRP,Item_Outlet_Sales,Item_Visibility,Item_Weight,Outlet_Establishment_Year,Outlet_Location_Type,Outlet_Size,Outlet_Type_Grocery Store,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3
35,3,3791.0652,0.089291137,10.0,21,2,1,False,True,False,False
36,2,2797.6916,0.059511812,20.2,35,0,1,False,False,False,True
37,2,1609.9044,0.113123893,8.85,11,0,1,False,False,True,False
38,1,388.1614,0.123111453,6.385,35,0,1,False,False,False,True
39,1,2180.495,0.026480954,15.25,35,0,1,False,False,False,True
40,4,3435.528,0.102511504,13.35,23,2,0,False,True,False,False
41,2,2150.534,0.02681843,9.8,33,0,2,False,True,False,False
42,4,2527.3768,0.117818348,13.6,21,2,1,False,True,False,False
43,4,6768.5228,0.069102831,21.35,11,0,1,False,False,True,False
44,2,373.5138,0.042277867,12.15,33,0,2,False,True,False,False
45,3,358.2004,0.089498926,6.42,22,0,0,True,False,False,False
46,3,2428.8384,0.0,19.6,18,1,0,False,True,False,False
47,4,5815.0972,0.025879577,10.0,18,1,0,False,True,False,False
48,1,2576.646,0.121632721,15.85,23,2,0,False,True,False,False
49,4,780.3176,0.255394896,10.195,35,2,0,True,False,False,False
50,3,3134.5864,0.067779712,7.39,23,2,0,False,True,False,False
51,2,850.8924,0.159803853,10.195,33,0,2,False,True,False,False
52,2,810.9444,0.028696932,9.895,33,0,2,False,True,False,False
53,4,3121.2704,0.065041581,10.895,13,1,0,False,True,False,False
54,3,4815.0656,0.028760013,12.15,13,1,0,False,True,False,False
55,4,6258.52,0.010053105,7.905,11,0,1,False,False,True,False
56,2,2117.244,0.048157338,9.195,18,1,0,False,True,False,False
57,1,796.9626,0.071958197,8.365,21,2,1,False,True,False,False
58,4,4910.275,0.173481304,15.1,23,2,0,False,True,False,False
59,3,892.172,0.061082177,5.94,35,2,0,True,False,False,False
60,4,3185.1872,0.0,10.0,11,0,1,False,False,True,False
61,1,1062.6168,0.040071131,7.97,18,1,0,False,True,False,False
62,1,484.7024,0.012090074,6.215,35,0,1,False,False,False,True
63,1,147.8076,0.15028599,15.5,35,2,0,True,False,False,False
64,4,2543.356,0.026015519,17.5,35,0,1,False,False,False,True
65,3,184.4266,0.195068226,17.7,22,0,0,True,False,False,False
66,3,4865.6664,0.033082215,19.35,16,1,0,False,True,False,False
67,4,1118.544,0.078946455,13.65,18,1,0,False,True,False,False
68,3,2302.3364,0.041700756,17.6,18,1,0,False,True,False,False
69,2,2027.361,0.143422643,8.645,23,2,0,False,True,False,False
70,3,3435.528,0.105296072,15.6,23,2,0,False,True,False,False
71,1,599.22,0.121531501,15.85,33,0,2,False,True,False,False
72,3,4604.6728,0.0,18.25,18,1,0,False,True,False,False
73,4,2285.0256,0.011324862,7.855,13,1,0,False,True,False,False
74,4,5580.7356,0.186357148,7.825,21,2,1,False,True,False,False
75,2,2290.352,0.024205661,8.39,23,2,0,False,True,False,False
76,3,1207.0954,0.033230816,12.85,21,2,1,False,True,False,False
77,1,643.1628,0.113720344,13.35,35,2,0,True,False,False,False
78,2,1587.933,0.112556507,19.0,13,1,0,False,True,False,False
79,4,5305.0944,0.0,5.905,18,1,0,False,True,False,False
80,2,1697.79,0.059352241,7.76,23,2,0,False,True,False,False
81,3,1427.4752,0.014087057,11.8,23,2,0,False,True,False,False
82,4,4693.89,0.045230944,16.75,11,0,1,False,False,True,False
83,4,583.2408,0.293417759,18.85,35,2,0,True,False,False,False
84,3,3091.9752,0.031382044,12.6,35,0,1,False,False,False,True
85,3,2479.4392,0.12639886,15.5,13,1,0,False,True,False,False
86,3,2716.464,0.025403898,6.055,16,1,0,False,True,False,False
87,3,3285.723,0.039057677,20.2,35,0,1,False,False,False,True
88,2,661.8052,0.123115764,6.305,23,2,0,False,True,False,False
89,2,1523.3504,0.039624006,20.85,21,2,1,False,True,False,False
90,2,369.519,0.040421193,20.75,22,0,0,True,False,False,False
91,1,690.4346,0.105274111,8.895,21,2,1,False,True,False,False
92,1,1381.535,0.033970195,19.6,18,1,0,False,True,False,False
93,1,622.523,0.053212652,19.7,16,1,0,False,True,False,False
94,2,1274.3412,0.024378706,9.8,16,1,0,False,True,False,False
95,2,487.3656,0.009714595,7.93,35,2,0,True,False,False,False
96,4,1231.73,0.131383762,12.15,21,2,1,False,True,False,False
97,4,3755.112,0.07461309,8.75,16,1,0,False,True,False,False
98,3,4363.6532,0.028459761,12.15,35,0,1,False,False,False,True
99,4,1314.2892,0.074627201,8.75,23,2,0,False,True,False,False
100,3,1805.6496,0.063695084,13.3,18,1,0,False,True,False,False
101,3,2854.9504,0.045797829,20.6,35,0,1,False,False,False,True
102,3,3896.2616,0.115857223,8.31,21,2,1,False,True,False,False
103,1,667.7974,0.024832806,16.75,33,0,2,False,True,False,False
104,4,3185.853,0.034027909,19.75,11,0,1,False,False,True,False
105,2,2247.7408,0.0467696,17.1,33,0,2,False,True,False,False
106,3,1794.331,0.116576702,10.5,33,0,2,False,True,False,False
107,2,2530.7058,0.0,6.635,18,1,0,False,True,False,False
108,4,679.116,0.278974075,9.395,35,2,0,True,False,False,False
109,1,812.276,0.035913805,14.15,33,0,2,False,True,False,False
110,4,699.09,0.079806266,13.3,23,2,0,False,True,False,False
111,2,2732.4432,0.005505481,8.89,13,1,0,False,True,False,False
112,3,176.437,0.064625342,6.69,35,2,0,True,False,False,False
113,2,4097.3332,0.071636937,6.195,35,0,1,False,False,False,True
114,3,3151.8972,0.0,9.1,18,1,0,False,True,False,False
115,4,5942.265,0.032677678,7.5,21,2,1,False,True,False,False
116,4,4843.695,0.160760054,16.85,13,1,0,False,True,False,False
117,2,2542.0244,0.06911065,7.485,16,1,0,False,True,False,False
118,2,2552.6772,0.041177505,11.6,13,1,0,False,True,False,False
119,4,1141.847,0.040081193,11.65,11,0,1,False,False,True,False
120,1,680.4476,0.035307322,13.0,13,1,0,False,True,False,False
121,3,2085.9514,0.063017847,12.65,18,1,0,False,True,False,False
122,1,186.424,0.171938781,20.25,22,0,0,True,False,False,False
123,4,3036.048,0.040197932,8.6,16,1,0,False,True,False,False
124,1,866.8716,0.049058014,12.6,13,1,0,False,True,False,False
125,2,868.869,0.01161096,17.7,16,1,0,False,True,False,False
126,1,1137.1864,0.183507295,14.15,23,2,0,False,True,False,False
127,1,928.1252,0.102349519,19.25,13,1,0,False,True,False,False
128,3,762.341,0.086708987,8.88,33,0,2,False,True,False,False
129,1,707.0796,0.032835147,20.5,18,1,0,False,True,False,False
130,3,7968.2944,0.033809913,12.0,35,0,1,False,False,False,True
131,3,1438.128,0.07266912,13.5,23,2,0,False,True,False,False
132,4,6976.2524,0.144338493,12.15,35,0,1,False,False,False,True
133,2,101.2016,0.009163216,8.89,22,0,0,True,False,False,False
134,4,952.094,0.011307038,7.855,11,0,1,False,False,True,False
135,2,1969.4364,0.076855628,7.235,23,2,0,False,True,False,False
136,3,5262.4832,0.059956876,18.25,35,0,1,False,False,False,True
137,1,1314.2892,0.038532062,6.92,18,1,0,False,True,False,False
138,1,535.3032,0.043209581,9.3,13,1,0,False,True,False,False
139,2,263.6568,0.056816465,18.5,22,0,0,True,False,False,False
140,3,1402.1748,0.019866705,8.02,16,1,0,False,True,False,False
141,2,1693.7952,0.048331717,9.195,13,1,0,False,True,False,False
142,2,2143.876,0.091221855,12.8,18,1,0,False,True,False,False
143,3,2676.516,0.027622076,16.6,21,2,1,False,True,False,False
144,1,905.488,0.0,14.0,16,1,0,False,True,False,False
145,4,7370.406,0.039355947,18.6,21,2,1,False,True,False,False
146,4,6301.1312,0.060836524,16.0,16,1,0,False,True,False,False
147,3,1597.92,0.082316506,17.6,16,1,0,False,True,False,False
148,3,529.311,0.155350299,21.25,16,1,0,False,True,False,False
149,2,1969.4364,0.076841095,7.235,16,1,0,False,True,False,False
150,1,1034.6532,0.151419185,14.6,13,1,0,False,True,False,False
151,3,1794.331,0.026001976,13.85,11,0,1,False,False,True,False
152,4,2768.3964,0.073209447,13.65,11,0,1,False,False,True,False
153,1,898.83,0.041683481,9.5,35,0,1,False,False,False,True
154,4,3169.208,0.042560252,7.365,23,2,0,False,True,False,False
155,4,3589.9936,0.014081156,18.35,11,0,1,False,False,True,False
156,2,262.3252,0.0,5.465,11,0,1,False,False,True,False
157,2,1910.1802,0.152918384,18.6,13,1,0,False,True,False,False
158,2,1701.7848,0.030969274,13.85,13,1,0,False,True,False,False
159,3,2471.4496,0.060376776,14.0,33,0,2,False,True,False,False
160,1,1331.6,0.04192285,14.0,33,0,2,False,True,False,False
161,2,1808.9786,0.077367431,21.35,35,0,1,False,False,False,True
162,4,3315.684,0.045838211,5.905,11,0,1,False,False,True,False
163,2,2618.5914,0.071077939,7.27,23,2,0,False,True,False,False
164,4,2769.728,0.094659871,6.155,23,2,0,False,True,False,False
165,4,5375.0034,0.077608838,19.5,13,1,0,False,True,False,False
166,4,2838.9712,0.021327477,15.2,13,1,0,False,True,False,False
167,2,1743.0644,0.042485444,12.15,11,0,1,False,False,True,False
168,4,5555.4352,0.025578526,14.6,35,0,1,False,False,False,True
169,1,619.194,0.0489808,12.6,11,0,1,False,False,True,False
170,3,2120.573,0.019471688,14.5,16,1,0,False,True,False,False
171,3,3823.0236,0.122918852,16.6,13,1,0,False,True,False,False
172,3,1360.2294,0.057373797,11.8,33,0,2,False,True,False,False
173,3,3969.4996,0.044155597,13.1,33,0,2,False,True,False,False
174,2,345.5502,0.291865402,17.7,22,0,0,True,False,False,False
175,4,585.2382,0.0,17.85,22,0,0,True,False,False,False
176,1,1010.6844,0.064750025,12.3,18,1,0,False,True,False,False
177,1,161.1236,0.098312421,11.8,22,0,0,True,False,False,False
178,1,42.6112,0.191013663,9.395,35,2,0,True,False,False,False
179,3,3010.7476,0.176573035,11.1,18,1,0,False,True,False,False
180,3,6024.1584,0.060134441,14.0,35,0,1,False,False,False,True
181,4,988.713,0.007294652,11.3,18,1,0,False,True,False,False
182,2,239.688,0.128478462,10.0,35,2,0,True,False,False,False
183,2,1374.2112,0.075107656,5.75,33,0,2,False,True,False,False
184,4,4739.8302,0.049381406,6.215,35,0,1,False,False,False,True
185,2,1012.016,0.045165796,11.35,11,0,1,False,False,True,False
186,3,657.8104,0.09415375,11.1,35,2,0,True,False,False,False
187,2,778.986,0.028907832,14.0,21,2,1,False,True,False,False
188,3,2336.958,0.018059621,19.75,18,1,0,False,True,False,False
189,1,2233.0932,0.090436094,6.525,21,2,1,False,True,False,False
190,2,1661.8368,0.146399712,10.3,21,2,1,False,True,False,False
191,4,4745.8224,0.074264356,5.78,21,2,1,False,True,False,False
192,3,3124.5994,0.050186726,11.85,18,1,0,False,True,False,False
193,1,467.3916,0.020631654,16.35,11,0,1,False,False,True,False
194,3,5070.7328,0.01561108,17.6,35,0,1,False,False,False,True
195,1,540.6296,0.041395445,10.5,23,2,0,False,True,False,False
196,1,992.7078,0.097313129,19.0,23,2,0,False,True,False,False
197,4,6008.845,0.059582996,14.6,21,2,1,False,True,False,False
198,1,2105.2596,0.098663652,15.6,35,0,1,False,False,False,True
199,4,5359.69,0.101338651,4.615,35,0,1,False,False,False,True
200,2,745.696,0.052146456,18.75,18,1,0,False,True,False,False
201,3,3275.736,0.041764487,5.26,16,1,0,False,True,False,False
202,2,1701.7848,0.054344186,18.25,18,1,0,False,True,False,False
203,3,6704.606,0.078362484,10.3,35,0,1,False,False,False,True
204,4,4119.9704,0.052339069,15.1,23,2,0,False,True,False,False
205,1,327.5736,0.042464962,15.5,22,0,0,True,False,False,False
206,1,780.9834,0.065732883,13.65,21,2,1,False,True,False,False
207,4,3630.6074,0.023625114,16.1,18,1,0,False,True,False,False
208,2,317.5866,0.051643608,5.175,35,2,0,True,False,False,False
209,1,231.6984,0.165694219,12.85,22,0,0,True,False,False,False
210,1,133.16,0.041878397,9.5,16,1,0,False,True,False,False
211,4,5650.6446,0.058091482,13.8,16,1,0,False,True,False,False
212,4,2636.568,0.0,5.78,13,1,0,False,True,False,False
213,2,1272.3438,0.026903714,19.7,18,1,0,False,True,False,False
214,3,324.9104,0.0,14.65,22,0,0,True,False,False,False
215,2,131.1626,0.150554711,6.67,22,0,0,True,False,False,False
216,2,260.9936,0.0,6.11,22,0,0,True,False,False,False
217,4,260.9936,0.134975628,13.65,22,0,0,True,False,False,False
218,3,3690.5294,0.15616879,17.2,33,0,2,False,True,False,False
219,1,1139.1838,0.0,6.32,16,1,0,False,True,False,False
220,1,1995.4026,0.133700752,4.88,21,2,1,False,True,False,False
221,1,1416.8224,0.115119905,5.425,13,1,0,False,True,False,False
222,1,265.6542,0.110030997,15.85,23,2,0,False,True,False,False
223,2,3552.7088,0.051038045,7.5,13,1,0,False,True,False,False
224,3,2406.867,0.062837968,12.65,33,0,2,False,True,False,False
225,4,213.056,0.017116983,9.06,35,2,0,True,False,False,False
226,2,2956.152,0.024129332,20.75,33,0,2,False,True,False,False
227,3,153.134,0.049754975,8.93,35,2,0,True,False,False,False
228,1,1649.8524,0.0,9.0,16,1,0,False,True,False,False
229,3,3101.2964,0.101561568,16.7,35,0,1,False,False,False,True
230,3,4769.1254,0.005949644,6.36,35,0,1,False,False,False,True
231,3,3435.528,0.13956116,5.365,35,0,1,False,False,False,True
232,1,1133.8574,0.126035694,14.1,18,1,0,False,True,False,False
233,3,2603.278,0.027164679,7.55,16,1,0,False,True,False,False
234,1,605.878,0.099325278,13.0,23,2,0,False,True,False,False
235,4,2293.0152,0.04357366,9.3,35,0,1,False,False,False,True
236,2,119.1782,0.082741482,17.6,35,2,0,True,False,False,False
237,1,1929.4884,0.064565202,12.3,33,0,2,False,True,False,False
238,2,2074.6328,0.084554569,7.05,35,0,1,False,False,False,True
239,1,241.6854,0.058451805,11.8,35,0,1,False,False,False,True
240,4,6795.1548,0.113748685,17.25,18,1,0,False,True,False,False
241,1,639.168,0.020603511,15.85,13,1,0,False,True,False,False
242,4,3248.4382,0.052044976,18.85,16,1,0,False,True,False,False
243,4,7222.5984,0.062764429,16.35,13,1,0,False,True,False,False
244,4,3225.1352,0.087977262,14.1,16,1,0,False,True,False,False
245,4,3755.112,0.010010425,7.905,16,1,0,False,True,False,False
246,3,3440.8544,0.033946163,12.0,33,0,2,False,True,False,False
247,3,974.7312,0.058414678,12.15,16,1,0,False,True,False,False
248,1,535.969,0.027106459,10.1,21,2,1,False,True,False,False
249,4,5259.82,0.027022883,17.5,13,1,0,False,True,False,False
250,3,306.268,0.058153409,18.35,35,2,0,True,False,False,False
251,2,1779.0176,0.128937661,17.1,11,0,1,False,False,True,False
252,1,759.012,0.088846306,7.785,21,2,1,False,True,False,False
253,2,1877.556,0.09357779,11.8,33,0,2,False,True,False,False
254,3,3779.0808,0.165694678,13.15,18,1,0,False,True,False,False
255,1,41.2796,0.148392623,6.4,35,2,0,True,False,False,False
256,1,259.662,0.098438394,8.5,13,1,0,False,True,False,False
257,2,193.082,0.143303291,8.645,33,0,2,False,True,False,False
258,2,1687.803,0.076276208,17.6,18,1,0,False,True,False,False
259,2,4655.9394,0.175103435,9.1,13,1,0,False,True,False,False
260,4,4950.8888,0.023511371,12.8,33,0,2,False,True,False,False
261,2,1418.154,0.06105276,7.63,16,1,0,False,True,False,False
262,4,1225.072,0.049559042,9.285,13,1,0,False,True,False,False
263,4,5359.69,0.119418124,13.6,18,1,0,False,True,False,False
264,3,1764.37,0.072545601,8.895,18,1,0,False,True,False,False
265,4,2553.343,0.090486828,16.35,33,0,2,False,True,False,False
266,1,1006.6896,0.056245075,17.6,33,0,2,False,True,False,False
267,1,1081.925,0.014618973,7.975,33,0,2,False,True,False,False
268,1,308.9312,0.043479126,15.85,13,1,0,False,True,False,False
269,3,2516.724,0.045166237,15.7,33,0,2,False,True,False,False
270,2,1428.141,0.057827101,8.985,23,2,0,False,True,False,False
271,4,2093.2752,0.089394766,20.35,33,0,2,False,True,False,False
272,1,1929.4884,0.10550944,6.59,33,0,2,False,True,False,False
273,4,5829.7448,0.005234153,19.85,16,1,0,False,True,False,False
274,1,2082.6224,0.036390174,16.85,23,2,0,False,True,False,False
275,3,7298.4996,0.03292824,19.35,35,0,1,False,False,False,True
276,4,7452.9652,0.081252534,16.75,33,0,2,False,True,False,False
277,2,450.0808,0.076552407,17.6,13,1,0,False,True,False,False
278,4,500.6816,0.016758569,7.905,22,0,0,True,False,False,False
279,2,3668.558,0.044248175,17.85,35,0,1,False,False,False,True
280,2,736.3748,0.038288087,7.785,11,0,1,False,False,True,False
281,4,6088.0752,0.186032678,7.825,16,1,0,False,True,False,False
282,2,2125.2336,0.031867464,9.0,35,0,1,False,False,False,True
283,3,2277.036,0.021370201,20.75,13,1,0,False,True,False,False
284,4,573.2538,0.193772568,11.1,35,2,0,True,False,False,False
285,3,2267.049,0.009866049,6.26,16,1,0,False,True,False,False
286,3,296.9468,0.082551042,18.2,22,0,0,True,False,False,False
287,1,559.272,0.099729888,13.0,11,0,1,False,False,True,False
288,4,5559.43,0.018801549,20.25,16,1,0,False,True,False,False
289,2,1237.7222,0.119721451,8.695,21,2,1,False,True,False,False
290,2,569.259,0.071222087,7.27,18,1,0,False,True,False,False
291,3,3866.9664,0.060371962,10.695,35,0,1,False,False,False,True
292,4,1379.5376,0.033287541,12.85,18,1,0,False,True,False,False
293,2,1869.5664,0.05858462,7.075,11,0,1,False,False,True,False
294,4,5499.508,0.11679292,20.2,35,0,1,False,False,False,True
295,2,925.462,0.031452265,8.195,21,2,1,False,True,False,False
296,1,583.2408,0.00721395,7.09,16,1,0,False,True,False,False
297,2,1418.154,0.081196619,6.095,23,2,0,False,True,False,False
298,1,942.7728,0.049916364,19.35,13,1,0,False,True,False,False
299,2,2364.9216,0.04627095,6.15,23,2,0,False,True,False,False
300,1,3251.7672,0.02747716,17.35,35,0,1,False,False,False,True
301,2,254.3356,0.104704537,20.2,35,2,0,True,False,False,False
302,3,5895.659,0.012540003,17.7,16,1,0,False,True,False,False
303,1,1134.5232,0.147023834,17.85,11,0,1,False,False,True,False
304,4,7696.648,0.159657596,9.395,18,1,0,False,True,False,False
305,4,2775.7202,0.141398626,15.75,13,1,0,False,True,False,False
306,4,5317.0788,0.148821808,7.475,18,1,0,False,True,False,False
307,2,874.8612,0.0,7.075,11,0,1,False,False,True,False
308,1,1039.9796,0.029691762,6.445,23,2,0,False,True,False,False
309,4,3038.0454,0.096715523,19.1,16,1,0,False,True,False,False
310,4,3848.324,0.014790559,20.25,16,1,0,False,True,False,False
311,1,527.3136,0.054378253,15.0,23,2,0,False,True,False,False
312,1,2390.8878,0.123428594,6.67,23,2,0,False,True,False,False
313,1,1677.816,0.029943463,13.0,35,0,1,False,False,False,True
314,2,801.6232,0.052368061,16.7,33,0,2,False,True,False,False
315,2,1267.0174,0.093861144,7.07,18,1,0,False,True,False,False
316,3,886.8456,0.033968647,6.48,18,1,0,False,True,False,False
317,4,452.744,0.173154079,19.0,22,0,0,True,False,False,False
318,3,3877.6192,0.139735226,13.35,18,1,0,False,True,False,False
319,3,4414.254,0.043351896,5.98,35,0,1,False,False,False,True
320,2,5448.9072,0.042086652,9.3,35,0,1,False,False,False,True
321,4,4950.8888,0.12848269,9.695,21,2,1,False,True,False,False
322,1,958.752,0.049357077,15.0,13,1,0,False,True,False,False
323,3,1956.1204,0.008326735,11.15,13,1,0,False,True,False,False
324,2,2404.2038,0.021362955,20.85,21,2,1,False,True,False,False
325,4,387.4956,0.151420934,9.8,22,0,0,True,False,False,False
326,3,994.7052,0.032511818,16.35,33,0,2,False,True,False,False
327,2,1754.383,0.022323658,9.6,18,1,0,False,True,False,False
328,2,3340.9844,0.019292355,18.0,35,0,1,False,False,False,True
329,4,3918.8988,0.048124443,13.35,18,1,0,False,True,False,False
330,1,306.268,0.09261307,20.7,33,0,2,False,True,False,False
331,3,4278.4308,0.094697274,15.1,35,0,1,False,False,False,True
332,4,4425.5726,0.035984104,16.2,18,1,0,False,True,False,False
333,4,9267.936,0.056596985,13.8,35,0,1,False,False,False,True
334,1,229.701,0.2047,15.6,35,2,0,True,False,False,False
335,2,2055.9904,0.020618324,21.1,35,0,1,False,False,False,True
336,2,3339.6528,0.04709821,5.5,23,2,0,False,True,False,False
337,4,6410.3224,0.087584126,15.1,18,1,0,False,True,False,False
338,2,1992.0736,0.038078899,15.7,13,1,0,False,True,False,False
339,2,2870.9296,0.095102092,7.895,13,1,0,False,True,False,False
340,3,2807.0128,0.011953902,17.2,35,0,1,False,False,False,True
341,1,539.298,0.062799379,17.35,33,0,2,False,True,False,False
342,3,4377.635,0.031125709,7.285,33,0,2,False,True,False,False
343,3,2716.464,0.026005891,20.25,18,1,0,False,True,False,False
344,4,383.5008,0.09246392,18.75,35,2,0,True,False,False,False
345,1,703.0848,0.107765165,15.85,21,2,1,False,True,False,False
346,1,1937.478,0.010647477,6.17,21,2,1,False,True,False,False
347,3,3307.6944,0.015749341,19.5,21,2,1,False,True,False,False
348,4,3142.576,0.077628053,19.2,21,2,1,False,True,False,False
349,3,2554.0088,0.0,16.7,11,0,1,False,False,True,False
350,2,1869.5664,0.056695731,20.85,11,0,1,False,False,True,False
351,4,5494.8474,0.063993068,14.5,18,1,0,False,True,False,False
352,4,6093.4016,0.069529262,11.395,33,0,2,False,True,False,False
353,3,2586.633,0.034452949,7.97,23,2,0,False,True,False,False
354,1,1255.6988,0.06670068,7.71,21,2,1,False,True,False,False
355,2,4093.3384,0.034699737,19.25,23,2,0,False,True,False,False
356,2,3163.8816,0.058346939,7.075,23,2,0,False,True,False,False
357,3,5033.448,0.065203103,19.35,35,0,1,False,False,False,True
358,1,1137.1864,0.078929571,11.6,23,2,0,False,True,False,False
359,2,2696.49,0.182514881,8.985,35,0,1,False,False,False,True
360,3,898.83,0.016895293,12.1,11,0,1,False,False,True,False
361,2,2756.412,0.073379745,10.0,23,2,0,False,True,False,False
362,1,878.856,0.08075758,14.35,18,1,0,False,True,False,False
363,1,659.142,0.112271498,10.395,21,2,1,False,True,False,False
364,3,182.4292,0.153741385,17.7,35,2,0,True,False,False,False
365,4,3610.6334,0.127929521,8.1,33,0,2,False,True,False,False
366,4,5153.292,0.07838564,8.05,16,1,0,False,True,False,False
367,2,2588.6304,0.078502143,9.195,13,1,0,False,True,False,False
368,4,1286.3256,0.047684831,20.7,11,0,1,False,False,True,False
369,2,1230.3984,0.123159656,15.7,13,1,0,False,True,False,False
370,1,1733.7432,0.0,15.1,35,0,1,False,False,False,True
371,4,384.8324,0.053392944,18.35,35,2,0,True,False,False,False
372,3,3969.4996,0.036715907,16.5,18,1,0,False,True,False,False
373,3,7763.228,0.065236932,9.0,16,1,0,False,True,False,False
374,1,809.6128,0.041947547,6.785,33,0,2,False,True,False,False
375,3,1253.7014,0.082888496,19.5,11,0,1,False,False,True,False
376,4,5715.2272,0.055390121,7.575,23,2,0,False,True,False,False
377,1,1464.76,0.012194556,18.2,33,0,2,False,True,False,False
378,3,3251.1014,0.060495243,16.75,33,0,2,False,True,False,False
379,4,4274.436,0.0,7.47,16,1,0,False,True,False,False
380,4,5375.0034,0.014753811,20.35,35,0,1,False,False,False,True
381,1,1318.284,0.160707489,18.2,35,0,1,False,False,False,True
382,2,2251.7356,0.085622362,13.85,11,0,1,False,False,True,False
383,1,1176.4686,0.046350909,6.635,13,1,0,False,True,False,False
384,2,3523.4136,0.102920886,6.11,23,2,0,False,True,False,False
385,1,610.5386,0.026604781,15.25,16,1,0,False,True,False,False
386,2,1237.7222,0.0,15.85,16,1,0,False,True,False,False
387,4,474.0496,0.031860325,15.2,22,0,0,True,False,False,False
388,1,717.7324,0.0,14.65,35,0,1,False,False,False,True
389,3,2580.6408,0.021250002,20.75,23,2,0,False,True,False,False
390,3,2552.6772,0.159936948,10.195,23,2,0,False,True,False,False
391,3,3914.904,0.129503146,7.605,18,1,0,False,True,False,False
392,1,796.9626,0.142688846,18.0,23,2,0,False,True,False,False
393,4,916.1408,0.179484411,13.35,35,2,0,True,False,False,False
394,4,3259.7568,0.089163056,18.35,18,1,0,False,True,False,False
395,1,1677.816,0.105761491,6.59,21,2,1,False,True,False,False
396,4,3707.1744,0.056960814,13.8,21,2,1,False,True,False,False
397,3,2954.1546,0.00704098,21.2,23,2,0,False,True,False,False
398,3,2652.5472,0.011026594,10.5,11,0,1,False,False,True,False
399,1,1037.3164,0.093203257,8.97,18,1,0,False,True,False,False
400,1,717.7324,0.026916794,10.895,35,0,1,False,False,False,True
401,1,426.112,0.035264298,10.6,18,1,0,False,True,False,False
402,4,6911.004,0.015908424,13.65,16,1,0,False,True,False,False
403,4,3811.0392,0.017719277,19.0,23,2,0,False,True,False,False
404,2,2277.036,0.035334201,15.6,35,0,1,False,False,False,True
405,1,48.6034,0.065652494,6.8,35,2,0,True,False,False,False
406,4,5770.4886,0.056919038,6.865,21,2,1,False,True,False,False
407,1,690.4346,0.048143292,10.8,23,2,0,False,True,False,False
408,2,1890.2062,0.022047313,16.7,33,0,2,False,True,False,False
409,2,3195.84,0.090427268,18.85,35,0,1,False,False,False,True
410,3,1504.708,0.027779254,15.15,23,2,0,False,True,False,False
411,4,711.0744,0.0,10.5,22,0,0,True,False,False,False
412,3,4311.055,0.008033611,17.6,11,0,1,False,False,True,False
