,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Item_Outlet_Sales,isTrain,Outlet_Type_Grocery Store,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3
36,20.2,NA,0.059511812,Fruits and Vegetables,2,35,1,0,2797.6916,1,False,False,False,True
37,8.85,NA,0.113123893,Drinks,2,11,1,0,1609.9044,1,False,False,True,False
38,6.385,Regular,0.123111453,Processed Foods,1,35,1,0,388.1614,1,False,False,False,True
39,15.25,Low Fat,0.026480954,Processed Foods,1,35,1,0,2180.495,1,False,False,False,True
40,13.35,Low Fat,0.102511504,Drinks,4,23,0,2,3435.528,1,False,True,False,False
41,9.8,Low Fat,0.02681843,Meats,2,33,2,0,2150.534,1,False,True,False,False
42,13.6,Low Fat,0.117818348,Processed Foods,4,21,1,2,2527.3768,1,False,True,False,False
43,21.35,Low Fat,0.069102831,Processed Foods,4,11,1,0,6768.5228,1,False,False,True,False
44,12.15,Regular,0.042277867,Processed Foods,2,33,2,0,373.5138,1,False,True,False,False
45,6.42,Low Fat,0.089498926,Drinks,3,22,0,0,358.2004,1,True,False,False,False
46,19.6,NA,0.0,Non perishable,3,18,0,1,2428.8384,1,False,True,False,False
47,10.0,Low Fat,0.025879577,Processed Foods,4,18,0,1,5815.0972,1,False,True,False,False
48,15.85,Regular,0.121632721,Processed Foods,1,23,0,2,2576.646,1,False,True,False,False
49,10.195,Regular,0.255394896,Drinks,4,35,0,2,780.3176,1,True,False,False,False
50,7.39,NA,0.067779712,Non perishable,3,23,0,2,3134.5864,1,False,True,False,False
51,10.195,Low Fat,0.159803853,Processed Foods,2,33,2,0,850.8924,1,False,True,False,False
52,9.895,Regular,0.028696932,Processed Foods,2,33,2,0,810.9444,1,False,True,False,False
53,10.895,NA,0.065041581,Fruits and Vegetables,4,13,0,1,3121.2704,1,False,True,False,False
54,12.15,NA,0.028760013,Non perishable,3,13,0,1,4815.0656,1,False,True,False,False
55,7.905,Low Fat,0.010053105,Processed Foods,4,11,1,0,6258.52,1,False,False,True,False
56,9.195,NA,0.048157338,Non perishable,2,18,0,1,2117.244,1,False,True,False,False
57,8.365,NA,0.071958197,Drinks,1,21,1,2,796.9626,1,False,True,False,False
58,15.1,Low Fat,0.173481304,Processed Foods,4,23,0,2,4910.275,1,False,True,False,False
59,5.94,Low Fat,0.061082177,Processed Foods,3,35,0,2,892.172,1,True,False,False,False
60,10.0,NA,0.0,Fruits and Vegetables,4,11,1,0,3185.1872,1,False,False,True,False
61,7.97,Regular,0.040071131,Meats,1,18,0,1,1062.6168,1,False,True,False,False
62,6.215,NA,0.012090074,Fruits and Vegetables,1,35,1,0,484.7024,1,False,False,False,True
63,15.5,Regular,0.15028599,Processed Foods,1,35,0,2,147.8076,1,True,False,False,False
64,17.5,Low Fat,0.026015519,Processed Foods,4,35,1,0,2543.356,1,False,False,False,True
65,17.7,Low Fat,0.195068226,Processed Foods,3,22,0,0,184.4266,1,True,False,False,False
66,19.35,Low Fat,0.033082215,Meats,3,16,0,1,4865.6664,1,False,True,False,False
67,13.65,Regular,0.078946455,Drinks,4,18,0,1,1118.544,1,False,True,False,False
68,17.6,NA,0.041700756,Drinks,3,18,0,1,2302.3364,1,False,True,False,False
69,8.645,NA,0.143422643,Non perishable,2,23,0,2,2027.361,1,False,True,False,False
70,15.6,Regular,0.105296072,Processed Foods,3,23,0,2,3435.528,1,False,True,False,False
71,15.85,Regular,0.121531501,Processed Foods,1,33,2,0,599.22,1,False,True,False,False
72,18.25,Low Fat,0.0,Starchy Foods,3,18,0,1,4604.6728,1,False,True,False,False
73,7.855,Low Fat,0.011324862,Processed Foods,4,13,0,1,2285.0256,1,False,True,False,False
74,7.825,NA,0.186357148,Non perishable,4,21,1,2,5580.7356,1,False,True,False,False
75,8.39,Regular,0.024205661,Processed Foods,2,23,0,2,2290.352,1,False,True,False,False
76,12.85,Low Fat,0.033230816,Processed Foods,3,21,1,2,1207.0954,1,False,True,False,False
77,13.35,Low Fat,0.113720344,Processed Foods,1,35,0,2,643.1628,1,True,False,False,False
78,19.0,Low Fat,0.112556507,Processed Foods,2,13,0,1,1587.933,1,False,True,False,False
79,5.905,Low Fat,0.0,Processed Foods,4,18,0,1,5305.0944,1,False,True,False,False
80,7.76,Low Fat,0.059352241,Processed Foods,2,23,0,2,1697.79,1,False,True,False,False
81,11.8,Regular,0.014087057,Processed Foods,3,23,0,2,1427.4752,1,False,True,False,False
82,16.75,Low Fat,0.045230944,Processed Foods,4,11,1,0,4693.89,1,False,False,True,False
83,18.85,NA,0.293417759,Non perishable,4,35,0,2,583.2408,1,True,False,False,False
84,12.6,Regular,0.031382044,Processed Foods,3,35,1,0,3091.9752,1,False,False,False,True
85,15.5,NA,0.12639886,Fruits and Vegetables,3,13,0,1,2479.4392,1,False,True,False,False
86,6.055,NA,0.025403898,Fruits and Vegetables,3,16,0,1,2716.464,1,False,True,False,False
87,20.2,Regular,0.039057677,Starchy Foods,3,35,1,0,3285.723,1,False,False,False,True
88,6.305,Regular,0.123115764,Processed Foods,2,23,0,2,661.8052,1,False,True,False,False
89,20.85,Low Fat,0.039624006,Meats,2,21,1,2,1523.3504,1,False,True,False,False
90,20.75,NA,0.040421193,Fruits and Vegetables,2,22,0,0,369.519,1,True,False,False,False
91,8.895,Low Fat,0.105274111,Drinks,1,21,1,2,690.4346,1,False,True,False,False
92,19.6,NA,0.033970195,Drinks,1,18,0,1,1381.535,1,False,True,False,False
93,19.7,NA,0.053212652,Fruits and Vegetables,1,16,0,1,622.523,1,False,True,False,False
94,9.8,NA,0.024378706,Non perishable,2,16,0,1,1274.3412,1,False,True,False,False
95,7.93,Low Fat,0.009714595,Processed Foods,2,35,0,2,487.3656,1,True,False,False,False
96,12.15,Low Fat,0.131383762,Processed Foods,4,21,1,2,1231.73,1,False,True,False,False
97,8.75,NA,0.07461309,Fruits and Vegetables,4,16,0,1,3755.112,1,False,True,False,False
98,12.15,NA,0.028459761,Non perishable,3,35,1,0,4363.6532,1,False,False,False,True
99,8.75,NA,0.074627201,Fruits and Vegetables,4,23,0,2,1314.2892,1,False,True,False,False
100,13.3,Low Fat,0.063695084,Processed Foods,3,18,0,1,1805.6496,1,False,True,False,False
101,20.6,Regular,0.045797829,Processed Foods,3,35,1,0,2854.9504,1,False,False,False,True
102,8.31,Regular,0.115857223,Processed Foods,3,21,1,2,3896.2616,1,False,True,False,False
103,16.75,NA,0.024832806,Drinks,1,33,2,0,667.7974,1,False,True,False,False
104,19.75,Low Fat,0.034027909,Processed Foods,4,11,1,0,3185.853,1,False,False,True,False
105,17.1,Regular,0.0467696,Processed Foods,2,33,2,0,2247.7408,1,False,True,False,False
106,10.5,Regular,0.116576702,Processed Foods,3,33,2,0,1794.331,1,False,True,False,False
107,6.635,Regular,0.0,Processed Foods,2,18,0,1,2530.7058,1,False,True,False,False
108,9.395,NA,0.278974075,Drinks,4,35,0,2,679.116,1,True,False,False,False
109,14.15,NA,0.035913805,Drinks,1,33,2,0,812.276,1,False,True,False,False
110,13.3,Low Fat,0.079806266,Drinks,4,23,0,2,699.09,1,False,True,False,False
111,8.89,Low Fat,0.005505481,Processed Foods,2,13,0,1,2732.4432,1,False,True,False,False
112,6.69,Regular,0.064625342,Meats,3,35,0,2,176.437,1,True,False,False,False
113,6.195,Low Fat,0.071636937,Processed Foods,2,35,1,0,4097.3332,1,False,False,False,True
114,9.1,Regular,0.0,Starchy Foods,3,18,0,1,3151.8972,1,False,True,False,False
115,7.5,Low Fat,0.032677678,Processed Foods,4,21,1,2,5942.265,1,False,True,False,False
116,16.85,Regular,0.160760054,Processed Foods,4,13,0,1,4843.695,1,False,True,False,False
117,7.485,Low Fat,0.06911065,Processed Foods,2,16,0,1,2542.0244,1,False,True,False,False
118,11.6,NA,0.041177505,Drinks,2,13,0,1,2552.6772,1,False,True,False,False
119,11.65,Low Fat,0.040081193,Processed Foods,4,11,1,0,1141.847,1,False,False,True,False
120,13.0,NA,0.035307322,Non perishable,1,13,0,1,680.4476,1,False,True,False,False
121,12.65,NA,0.063017847,Drinks,3,18,0,1,2085.9514,1,False,True,False,False
122,20.25,Regular,0.171938781,Processed Foods,1,22,0,0,186.424,1,True,False,False,False
123,8.6,Regular,0.040197932,Processed Foods,4,16,0,1,3036.048,1,False,True,False,False
124,12.6,Low Fat,0.049058014,Starchy Foods,1,13,0,1,866.8716,1,False,True,False,False
125,17.7,Low Fat,0.01161096,Processed Foods,2,16,0,1,868.869,1,False,True,False,False
126,14.15,NA,0.183507295,Drinks,1,23,0,2,1137.1864,1,False,True,False,False
127,19.25,Low Fat,0.102349519,Drinks,1,13,0,1,928.1252,1,False,True,False,False
128,8.88,NA,0.086708987,Drinks,3,33,2,0,762.341,1,False,True,False,False
129,20.5,NA,0.032835147,Non perishable,1,18,0,1,707.0796,1,False,True,False,False
130,12.0,Low Fat,0.033809913,Processed Foods,3,35,1,0,7968.2944,1,False,False,False,True
131,13.5,NA,0.07266912,Non perishable,3,23,0,2,1438.128,1,False,True,False,False
132,12.15,NA,0.144338493,Non perishable,4,35,1,0,6976.2524,1,False,False,False,True
133,8.89,Low Fat,0.009163216,Processed Foods,2,22,0,0,101.2016,1,True,False,False,False
134,7.855,Low Fat,0.011307038,Processed Foods,4,11,1,0,952.094,1,False,False,True,False
135,7.235,NA,0.076855628,Non perishable,2,23,0,2,1969.4364,1,False,True,False,False
136,18.25,Low Fat,0.059956876,Starchy Foods,3,35,1,0,5262.4832,1,False,False,False,True
137,6.92,Low Fat,0.038532062,Drinks,1,18,0,1,1314.2892,1,False,True,False,False
138,9.3,NA,0.043209581,Fruits and Vegetables,1,13,0,1,535.3032,1,False,True,False,False
139,18.5,NA,0.056816465,Non perishable,2,22,0,0,263.6568,1,True,False,False,False
140,8.02,NA,0.019866705,Non perishable,3,16,0,1,1402.1748,1,False,True,False,False
141,9.195,NA,0.048331717,Non perishable,2,13,0,1,1693.7952,1,False,True,False,False
142,12.8,NA,0.091221855,Non perishable,2,18,0,1,2143.876,1,False,True,False,False
143,16.6,NA,0.027622076,Non perishable,3,21,1,2,2676.516,1,False,True,False,False
144,14.0,Regular,0.0,Processed Foods,1,16,0,1,905.488,1,False,True,False,False
145,18.6,Low Fat,0.039355947,Processed Foods,4,21,1,2,7370.406,1,False,True,False,False
146,16.0,Low Fat,0.060836524,Starchy Foods,4,16,0,1,6301.1312,1,False,True,False,False
147,17.6,NA,0.082316506,Non perishable,3,16,0,1,1597.92,1,False,True,False,False
148,21.25,Low Fat,0.155350299,Processed Foods,3,16,0,1,529.311,1,False,True,False,False
149,7.235,NA,0.076841095,Non perishable,2,16,0,1,1969.4364,1,False,True,False,False
150,14.6,NA,0.151419185,Drinks,1,13,0,1,1034.6532,1,False,True,False,False
151,13.85,Regular,0.026001976,Processed Foods,3,11,1,0,1794.331,1,False,False,True,False
152,13.65,Regular,0.073209447,Processed Foods,4,11,1,0,2768.3964,1,False,False,True,False
153,9.5,NA,0.041683481,Drinks,1,35,1,0,898.83,1,False,False,False,True
154,7.365,NA,0.042560252,Fruits and Vegetables,4,23,0,2,3169.208,1,False,True,False,False
155,18.35,NA,0.014081156,Non perishable,4,11,1,0,3589.9936,1,False,False,True,False
156,5.465,Regular,0.0,Processed Foods,2,11,1,0,262.3252,1,False,False,True,False
157,18.6,Low Fat,0.152918384,Starchy Foods,2,13,0,1,1910.1802,1,False,True,False,False
158,13.85,NA,0.030969274,Drinks,2,13,0,1,1701.7848,1,False,True,False,False
159,14.0,Regular,0.060376776,Processed Foods,3,33,2,0,2471.4496,1,False,True,False,False
160,14.0,Regular,0.04192285,Processed Foods,1,33,2,0,1331.6,1,False,True,False,False
161,21.35,NA,0.077367431,Fruits and Vegetables,2,35,1,0,1808.9786,1,False,False,False,True
162,5.905,Low Fat,0.045838211,Processed Foods,4,11,1,0,3315.684,1,False,False,True,False
163,7.27,NA,0.071077939,Drinks,2,23,0,2,2618.5914,1,False,True,False,False
164,6.155,Regular,0.094659871,Meats,4,23,0,2,2769.728,1,False,True,False,False
165,19.5,NA,0.077608838,Drinks,4,13,0,1,5375.0034,1,False,True,False,False
166,15.2,Low Fat,0.021327477,Processed Foods,4,13,0,1,2838.9712,1,False,True,False,False
167,12.15,Regular,0.042485444,Processed Foods,2,11,1,0,1743.0644,1,False,False,True,False
168,14.6,NA,0.025578526,Non perishable,4,35,1,0,5555.4352,1,False,False,False,True
169,12.6,Low Fat,0.0489808,Starchy Foods,1,11,1,0,619.194,1,False,False,True,False
170,14.5,NA,0.019471688,Non perishable,3,16,0,1,2120.573,1,False,True,False,False
171,16.6,NA,0.122918852,Fruits and Vegetables,3,13,0,1,3823.0236,1,False,True,False,False
172,11.8,Regular,0.057373797,Meats,3,33,2,0,1360.2294,1,False,True,False,False
173,13.1,NA,0.044155597,Fruits and Vegetables,3,33,2,0,3969.4996,1,False,True,False,False
174,17.7,NA,0.291865402,Fruits and Vegetables,2,22,0,0,345.5502,1,True,False,False,False
175,17.85,Low Fat,0.0,Starchy Foods,4,22,0,0,585.2382,1,True,False,False,False
176,12.3,Regular,0.064750025,Starchy Foods,1,18,0,1,1010.6844,1,False,True,False,False
177,11.8,NA,0.098312421,Non perishable,1,22,0,0,161.1236,1,True,False,False,False
178,9.395,NA,0.191013663,Drinks,1,35,0,2,42.6112,1,True,False,False,False
179,11.1,Low Fat,0.176573035,Processed Foods,3,18,0,1,3010.7476,1,False,True,False,False
180,14.0,Regular,0.060134441,Processed Foods,3,35,1,0,6024.1584,1,False,False,False,True
181,11.3,Low Fat,0.007294652,Meats,4,18,0,1,988.713,1,False,True,False,False
182,10.0,NA,0.128478462,Non perishable,2,35,0,2,239.688,1,True,False,False,False
183,5.75,Regular,0.075107656,Drinks,2,33,2,0,1374.2112,1,False,True,False,False
184,6.215,Regular,0.049381406,Processed Foods,4,35,1,0,4739.8302,1,False,False,False,True
185,11.35,Regular,0.045165796,Processed Foods,2,11,1,0,1012.016,1,False,False,True,False
186,11.1,NA,0.09415375,Fruits and Vegetables,3,35,0,2,657.8104,1,True,False,False,False
187,14.0,NA,0.028907832,Non perishable,2,21,1,2,778.986,1,False,True,False,False
188,19.75,Regular,0.018059621,Processed Foods,3,18,0,1,2336.958,1,False,True,False,False
189,6.525,NA,0.090436094,Non perishable,1,21,1,2,2233.0932,1,False,True,False,False
190,10.3,Low Fat,0.146399712,Meats,2,21,1,2,1661.8368,1,False,True,False,False
191,5.78,Regular,0.074264356,Processed Foods,4,21,1,2,4745.8224,1,False,True,False,False
192,11.85,NA,0.050186726,Fruits and Vegetables,3,18,0,1,3124.5994,1,False,True,False,False
193,16.35,NA,0.020631654,Fruits and Vegetables,1,11,1,0,467.3916,1,False,False,True,False
194,17.6,NA,0.01561108,Non perishable,3,35,1,0,5070.7328,1,False,False,False,True
195,10.5,NA,0.041395445,Fruits and Vegetables,1,23,0,2,540.6296,1,False,True,False,False
196,19.0,Regular,0.097313129,Processed Foods,1,23,0,2,992.7078,1,False,True,False,False
197,14.6,NA,0.059582996,Non perishable,4,21,1,2,6008.845,1,False,True,False,False
198,15.6,Regular,0.098663652,Drinks,1,35,1,0,2105.2596,1,False,False,False,True
199,4.615,Regular,0.101338651,Processed Foods,4,35,1,0,5359.69,1,False,False,False,True
200,18.75,NA,0.052146456,Non perishable,2,18,0,1,745.696,1,False,True,False,False
201,5.26,Regular,0.041764487,Processed Foods,3,16,0,1,3275.736,1,False,True,False,False
202,18.25,Low Fat,0.054344186,Processed Foods,2,18,0,1,1701.7848,1,False,True,False,False
203,10.3,Low Fat,0.078362484,Processed Foods,3,35,1,0,6704.606,1,False,False,False,True
204,15.1,Low Fat,0.052339069,Meats,4,23,0,2,4119.9704,1,False,True,False,False
205,15.5,Regular,0.042464962,Processed Foods,1,22,0,0,327.5736,1,True,False,False,False
206,13.65,Low Fat,0.065732883,Processed Foods,1,21,1,2,780.9834,1,False,True,False,False
207,16.1,NA,0.023625114,Drinks,4,18,0,1,3630.6074,1,False,True,False,False
208,5.175,Regular,0.051643608,Processed Foods,2,35,0,2,317.5866,1,True,False,False,False
209,12.85,Low Fat,0.165694219,Processed Foods,1,22,0,0,231.6984,1,True,False,False,False
210,9.5,NA,0.041878397,Drinks,1,16,0,1,133.16,1,False,True,False,False
211,13.8,Low Fat,0.058091482,Drinks,4,16,0,1,5650.6446,1,False,True,False,False
212,5.78,Regular,0.0,Processed Foods,4,13,0,1,2636.568,1,False,True,False,False
213,19.7,NA,0.026903714,Non perishable,2,18,0,1,1272.3438,1,False,True,False,False
214,14.65,NA,0.0,Non perishable,3,22,0,0,324.9104,1,True,False,False,False
215,6.67,Regular,0.150554711,Processed Foods,2,22,0,0,131.1626,1,True,False,False,False
216,6.11,NA,0.0,Fruits and Vegetables,2,22,0,0,260.9936,1,True,False,False,False
217,13.65,Regular,0.134975628,Processed Foods,4,22,0,0,260.9936,1,True,False,False,False
218,17.2,Low Fat,0.15616879,Meats,3,33,2,0,3690.5294,1,False,True,False,False
219,6.32,Low Fat,0.0,Meats,1,16,0,1,1139.1838,1,False,True,False,False
220,4.88,Regular,0.133700752,Processed Foods,1,21,1,2,1995.4026,1,False,True,False,False
221,5.425,Regular,0.115119905,Processed Foods,1,13,0,1,1416.8224,1,False,True,False,False
222,15.85,Regular,0.110030997,Processed Foods,1,23,0,2,265.6542,1,False,True,False,False
223,7.5,Low Fat,0.051038045,Processed Foods,2,13,0,1,3552.7088,1,False,True,False,False
224,12.65,NA,0.062837968,Drinks,3,33,2,0,2406.867,1,False,True,False,False
225,9.06,NA,0.017116983,Non perishable,4,35,0,2,213.056,1,True,False,False,False
226,20.75,NA,0.024129332,Fruits and Vegetables,2,33,2,0,2956.152,1,False,True,False,False
227,8.93,Low Fat,0.049754975,Drinks,3,35,0,2,153.134,1,True,False,False,False
228,9.0,Low Fat,0.0,Processed Foods,1,16,0,1,1649.8524,1,False,True,False,False
229,16.7,Low Fat,0.101561568,Processed Foods,3,35,1,0,3101.2964,1,False,False,False,True
230,6.36,NA,0.005949644,Non perishable,3,35,1,0,4769.1254,1,False,False,False,True
231,5.365,Regular,0.13956116,Meats,3,35,1,0,3435.528,1,False,False,False,True
232,14.1,NA,0.126035694,Fruits and Vegetables,1,18,0,1,1133.8574,1,False,True,False,False
233,7.55,Low Fat,0.027164679,Processed Foods,3,16,0,1,2603.278,1,False,True,False,False
234,13.0,NA,0.099325278,Non perishable,1,23,0,2,605.878,1,False,True,False,False
235,9.3,NA,0.04357366,Drinks,4,35,1,0,2293.0152,1,False,False,False,True
236,17.6,Regular,0.082741482,Processed Foods,2,35,0,2,119.1782,1,True,False,False,False
237,12.3,Regular,0.064565202,Starchy Foods,1,33,2,0,1929.4884,1,False,True,False,False
238,7.05,Low Fat,0.084554569,Processed Foods,2,35,1,0,2074.6328,1,False,False,False,True
239,11.8,NA,0.058451805,Non perishable,1,35,1,0,241.6854,1,False,False,False,True
240,17.25,NA,0.113748685,Non perishable,4,18,0,1,6795.1548,1,False,True,False,False
241,15.85,NA,0.020603511,Non perishable,1,13,0,1,639.168,1,False,True,False,False
242,18.85,NA,0.052044976,Non perishable,4,16,0,1,3248.4382,1,False,True,False,False
243,16.35,NA,0.062764429,Fruits and Vegetables,4,13,0,1,7222.5984,1,False,True,False,False
244,14.1,Low Fat,0.087977262,Drinks,4,16,0,1,3225.1352,1,False,True,False,False
245,7.905,Low Fat,0.010010425,Processed Foods,4,16,0,1,3755.112,1,False,True,False,False
246,12.0,Low Fat,0.033946163,Processed Foods,3,33,2,0,3440.8544,1,False,True,False,False
247,12.15,NA,0.058414678,Fruits and Vegetables,3,16,0,1,974.7312,1,False,True,False,False
248,10.1,Low Fat,0.027106459,Meats,1,21,1,2,535.969,1,False,True,False,False
249,17.5,Low Fat,0.027022883,Processed Foods,4,13,0,1,5259.82,1,False,True,False,False
250,18.35,Low Fat,0.058153409,Drinks,3,35,0,2,306.268,1,True,False,False,False
251,17.1,NA,0.128937661,Fruits and Vegetables,2,11,1,0,1779.0176,1,False,False,True,False
252,7.785,NA,0.088846306,Fruits and Vegetables,1,21,1,2,759.012,1,False,True,False,False
253,11.8,Regular,0.09357779,Processed Foods,2,33,2,0,1877.556,1,False,True,False,False
254,13.15,NA,0.165694678,Fruits and Vegetables,3,18,0,1,3779.0808,1,False,True,False,False
255,6.4,Low Fat,0.148392623,Processed Foods,1,35,0,2,41.2796,1,True,False,False,False
256,8.5,Low Fat,0.098438394,Processed Foods,1,13,0,1,259.662,1,False,True,False,False
257,8.645,NA,0.143303291,Non perishable,2,33,2,0,193.082,1,False,True,False,False
258,17.6,Regular,0.076276208,Meats,2,18,0,1,1687.803,1,False,True,False,False
259,9.1,Low Fat,0.175103435,Processed Foods,2,13,0,1,4655.9394,1,False,True,False,False
260,12.8,Regular,0.023511371,Meats,4,33,2,0,4950.8888,1,False,True,False,False
261,7.63,NA,0.06105276,Drinks,2,16,0,1,1418.154,1,False,True,False,False
262,9.285,Regular,0.049559042,Processed Foods,4,13,0,1,1225.072,1,False,True,False,False
263,13.6,Regular,0.119418124,Drinks,4,18,0,1,5359.69,1,False,True,False,False
264,8.895,Low Fat,0.072545601,Starchy Foods,3,18,0,1,1764.37,1,False,True,False,False
265,16.35,NA,0.090486828,Non perishable,4,33,2,0,2553.343,1,False,True,False,False
266,17.6,Low Fat,0.056245075,Processed Foods,1,33,2,0,1006.6896,1,False,True,False,False
267,7.975,Low Fat,0.014618973,Processed Foods,1,33,2,0,1081.925,1,False,True,False,False
268,15.85,Low Fat,0.043479126,Starchy Foods,1,13,0,1,308.9312,1,False,True,False,False
269,15.7,Low Fat,0.045166237,Processed Foods,3,33,2,0,2516.724,1,False,True,False,False
270,8.985,Regular,0.057827101,Processed Foods,2,23,0,2,1428.141,1,False,True,False,False
271,20.35,Low Fat,0.089394766,Drinks,4,33,2,0,2093.2752,1,False,True,False,False
272,6.59,NA,0.10550944,Fruits and Vegetables,1,33,2,0,1929.4884,1,False,True,False,False
273,19.85,Low Fat,0.005234153,Drinks,4,16,0,1,5829.7448,1,False,True,False,False
274,16.85,Low Fat,0.036390174,Processed Foods,1,23,0,2,2082.6224,1,False,True,False,False
275,19.35,Low Fat,0.03292824,Meats,3,35,1,0,7298.4996,1,False,False,False,True
276,16.75,NA,0.081252534,Fruits and Vegetables,4,33,2,0,7452.9652,1,False,True,False,False
277,17.6,Regular,0.076552407,Meats,2,13,0,1,450.0808,1,False,True,False,False
278,7.905,Low Fat,0.016758569,Processed Foods,4,22,0,0,500.6816,1,True,False,False,False
279,17.85,Low Fat,0.044248175,Processed Foods,2,35,1,0,3668.558,1,False,False,False,True
280,7.785,NA,0.038288087,Fruits and Vegetables,2,11,1,0,736.3748,1,False,False,True,False
281,7.825,NA,0.186032678,Non perishable,4,16,0,1,6088.0752,1,False,True,False,False
282,9.0,NA,0.031867464,Non perishable,2,35,1,0,2125.2336,1,False,False,False,True
283,20.75,NA,0.021370201,Drinks,3,13,0,1,2277.036,1,False,True,False,False
284,11.1,NA,0.193772568,Fruits and Vegetables,4,35,0,2,573.2538,1,True,False,False,False
285,6.26,Regular,0.009866049,Meats,3,16,0,1,2267.049,1,False,True,False,False
286,18.2,NA,0.082551042,Fruits and Vegetables,3,22,0,0,296.9468,1,True,False,False,False
287,13.0,NA,0.099729888,Non perishable,1,11,1,0,559.272,1,False,False,True,False
288,20.25,NA,0.018801549,Fruits and Vegetables,4,16,0,1,5559.43,1,False,True,False,False
289,8.695,NA,0.119721451,Non perishable,2,21,1,2,1237.7222,1,False,True,False,False
290,7.27,NA,0.071222087,Drinks,2,18,0,1,569.259,1,False,True,False,False
291,10.695,Regular,0.060371962,Starchy Foods,3,35,1,0,3866.9664,1,False,False,False,True
292,12.85,NA,0.033287541,Fruits and Vegetables,4,18,0,1,1379.5376,1,False,True,False,False
293,7.075,Low Fat,0.05858462,Drinks,3,11,1,0,1869.5664,1,False,False,True,False
294,20.2,Regular,0.11679292,Processed Foods,4,35,1,0,5499.508,1,False,False,False,True
